MS-DRG, MDC, TYPE, MS-DRG Title
581,9,SURG,"Other skin, subcut tiss & breast proc w/o CC/MCC"
582,9,SURG,"Mastectomy for malignancy w CC/MCC"
583,9,SURG,"Mastectomy for malignancy w/o CC/MCC"
584,9,SURG,"Breast biopsy, local excision & other breast procedures w CC/MCC"
585,9,SURG,"Breast biopsy, local excision & other breast procedures w/o CC/MCC"
592,9,MED,"Skin ulcers w MCC"
593,9,MED,"Skin ulcers w CC"
594,9,MED,"Skin ulcers w/o CC/MCC"
595,9,MED,"Major skin disorders w MCC"
596,9,MED,"Major skin disorders w/o MCC"
597,9,MED,"Malignant breast disorders w MCC"
598,9,MED,"Malignant breast disorders w CC"
599,9,MED,"Malignant breast disorders w/o CC/MCC"
600,9,MED,"Non-malignant breast disorders w CC/MCC"
601,9,MED,"Non-malignant breast disorders w/o CC/MCC"
602,9,MED,"Cellulitis w MCC"
603,9,MED,"Cellulitis w/o MCC"
604,9,MED,"Trauma to the skin, subcut tiss & breast w MCC"
605,9,MED,"Trauma to the skin, subcut tiss & breast w/o MCC"
606,9,MED,"Minor skin disorders w MCC"
607,9,MED,"Minor skin disorders w/o MCC"
614,10,SURG,"Adrenal & pituitary procedures w CC/MCC"
615,10,SURG,"Adrenal & pituitary procedures w/o CC/MCC"
616,10,SURG,"Amputat of lower limb for endocrine,nutrit,& metabol dis w MCC"
617,10,SURG,"Amputat of lower limb for endocrine,nutrit,& metabol dis w CC"
618,10,SURG,"Amputat of lower limb for endocrine,nutrit,& metabol dis w/o CC/MCC"
619,10,SURG,"O.R. procedures for obesity w MCC"
620,10,SURG,"O.R. procedures for obesity w CC"
621,10,SURG,"O.R. procedures for obesity w/o CC/MCC"
622,10,SURG,"Skin grafts & wound debrid for endoc, nutrit & metab dis w MCC"
623,10,SURG,"Skin grafts & wound debrid for endoc, nutrit & metab dis w CC"
624,10,SURG,"Skin grafts & wound debrid for endoc, nutrit & metab dis w/o CC/MCC"
625,10,SURG,"Thyroid, parathyroid & thyroglossal procedures w MCC"
626,10,SURG,"Thyroid, parathyroid & thyroglossal procedures w CC"
627,10,SURG,"Thyroid, parathyroid & thyroglossal procedures w/o CC/MCC"
628,10,SURG,"Other endocrine, nutrit & metab O.R. proc w MCC"
629,10,SURG,"Other endocrine, nutrit & metab O.R. proc w CC"
630,10,SURG,"Other endocrine, nutrit & metab O.R. proc w/o CC/MCC"
637,10,MED,"Diabetes w MCC"
638,10,MED,"Diabetes w CC"
639,10,MED,"Diabetes w/o CC/MCC"
640,10,MED,"Nutritional & misc metabolic disorders w MCC"
641,10,MED,"Nutritional & misc metabolic disorders w/o MCC"
642,10,MED,"Inborn errors of metabolism"
643,10,MED,"Endocrine disorders w MCC"
644,10,MED,"Endocrine disorders w CC"
645,10,MED,"Endocrine disorders w/o CC/MCC"
652,11,SURG,"Kidney transplant"
653,11,SURG,"Major bladder procedures w MCC"
654,11,SURG,"Major bladder procedures w CC"
655,11,SURG,"Major bladder procedures w/o CC/MCC"
656,11,SURG,"Kidney & ureter procedures for neoplasm w MCC"
657,11,SURG,"Kidney & ureter procedures for neoplasm w CC"
658,11,SURG,"Kidney & ureter procedures for neoplasm w/o CC/MCC"
659,11,SURG,"Kidney & ureter procedures for non-neoplasm w MCC"
660,11,SURG,"Kidney & ureter procedures for non-neoplasm w CC"
661,11,SURG,"Kidney & ureter procedures for non-neoplasm w/o CC/MCC"
662,11,SURG,"Minor bladder procedures w MCC"
663,11,SURG,"Minor bladder procedures w CC"
664,11,SURG,"Minor bladder procedures w/o CC/MCC"
665,11,SURG,"Prostatectomy w MCC"
666,11,SURG,"Prostatectomy w CC"
667,11,SURG,"Prostatectomy w/o CC/MCC"
668,11,SURG,"Transurethral procedures w MCC"
669,11,SURG,"Transurethral procedures w CC"
670,11,SURG,"Transurethral procedures w/o CC/MCC"
671,11,SURG,"Urethral procedures w CC/MCC"
672,11,SURG,"Urethral procedures w/o CC/MCC"
673,11,SURG,"Other kidney & urinary tract procedures w MCC"
674,11,SURG,"Other kidney & urinary tract procedures w CC"
675,11,SURG,"Other kidney & urinary tract procedures w/o CC/MCC"
682,11,MED,"Renal failure w MCC"
683,11,MED,"Renal failure w CC"
684,11,MED,"Renal failure w/o CC/MCC"
685,11,MED,"Admit for renal dialysis"
686,11,MED,"Kidney & urinary tract neoplasms w MCC"
687,11,MED,"Kidney & urinary tract neoplasms w CC"
688,11,MED,"Kidney & urinary tract neoplasms w/o CC/MCC"
689,11,MED,"Kidney & urinary tract infections w MCC"
690,11,MED,"Kidney & urinary tract infections w/o MCC"
691,11,MED,"Urinary stones w esw lithotripsy w CC/MCC"
692,11,MED,"Urinary stones w esw lithotripsy w/o CC/MCC"
693,11,MED,"Urinary stones w/o esw lithotripsy w MCC"
694,11,MED,"Urinary stones w/o esw lithotripsy w/o MCC"
695,11,MED,"Kidney & urinary tract signs & symptoms w MCC"
696,11,MED,"Kidney & urinary tract signs & symptoms w/o MCC"
697,11,MED,"Urethral stricture"
698,11,MED,"Other kidney & urinary tract diagnoses w MCC"
699,11,MED,"Other kidney & urinary tract diagnoses w CC"
700,11,MED,"Other kidney & urinary tract diagnoses w/o CC/MCC"
707,12,SURG,"Major male pelvic procedures w CC/MCC j p p"
708,12,SURG,"Major male pelvic procedures w/o CC/MCC"
709,12,SURG,"Penis procedures w CC/MCC"
710,12,SURG,"Penis procedures w/o CC/MCC"
711,12,SURG,"Testes procedures w CC/MCC"
712,12,SURG,"Testes procedures w/o CC/MCC"
713,12,SURG,"Transurethral prostatectomy w CC/MCC"
714,12,SURG,"Transurethral prostatectomy w/o CC/MCC"
715,12,SURG,"Other male reproductive system O.R. proc for malignancy w CC/MCC"
716,12,SURG,"Other male reproductive system O.R. proc for malignancy w/o CC/MCC"
717,12,SURG,"Other male reproductive system O.R. proc exc malignancy w CC/MCC"
718,12,SURG,"Other male reproductive system O.R. proc exc malignancy w/o CC/MCC"
722,12,MED,"Malignancy, male reproductive system w MCC"
723,12,MED,"Malignancy, male reproductive system w CC"
724,12,MED,"Malignancy, male reproductive system w/o CC/MCC"
725,12,MED,"Benign prostatic hypertrophy w MCC"
726,12,MED,"Benign prostatic hypertrophy w/o MCC"
727,12,MED,"Inflammation of the male reproductive system w MCC"
728,12,MED,"Inflammation of the male reproductive system w/o MCC"
729,12,MED,"Other male reproductive system diagnoses w CC/MCC"
730,12,MED,"Other male reproductive system diagnoses w/o CC/MCC"
734,13,SURG,"Pelvic evisceration, rad hysterectomy & rad vulvectomy w CC/MCC"
735,13,SURG,"Pelvic evisceration, rad hysterectomy & rad vulvectomy w/o CC/MCC"
736,13,SURG,"Uterine & adnexa proc for ovarian or adnexal malignancy w MCC"
737,13,SURG,"Uterine & adnexa proc for ovarian or adnexal malignancy w CC"
738,13,SURG,"Uterine & adnexa proc for ovarian or adnexal malignancy w/o CC/MCC"
739,13,SURG,"Uterine,adnexa proc for non-ovarian/adnexal malig w MCC"
740,13,SURG,"Uterine,adnexa proc for non-ovarian/adnexal malig w CC"
741,13,SURG,"Uterine,adnexa proc for non-ovarian/adnexal malig w/o CC/MCC"
742,13,SURG,"Uterine & adnexa proc for non-malignancy w CC/MCC"
743,13,SURG,"Uterine & adnexa proc for non-malignancy w/o CC/MCC"
744,13,SURG,"D&C, conization, laparascopy & tubal interruption w CC/MCC"
745,13,SURG,"D&C, conization, laparascopy & tubal interruption w/o CC/MCC"
746,13,SURG,"Vagina, cervix & vulva procedures w CC/MCC"
747,13,SURG,"Vagina, cervix & vulva procedures w/o CC/MCC"
748,13,SURG,"Female reproductive system reconstructive procedures"
749,13,SURG,"Other female reproductive system O.R. procedures w CC/MCC"
750,13,SURG,"Other female reproductive system O.R. procedures w/o CC/MCC"
754,13,MED,"Malignancy, female reproductive system w MCC"
755,13,MED,"Malignancy, female reproductive system w CC"
756,13,MED,"Malignancy, female reproductive system w/o CC/MCC"
757,13,MED,"Infections, female reproductive system w MCC"
758,13,MED,"Infections, female reproductive system w CC"
759,13,MED,"Infections, female reproductive system w/o CC/MCC"
760,13,MED,"Menstrual & other female reproductive system disorders w CC/MCC"
761,13,MED,"Menstrual & other female reproductive system disorders w/o CC/MCC"
765,14,SURG,"Cesarean section w CC/MCC"
766,14,SURG,"Cesarean section w/o CC/MCC"
767,14,SURG,"Vaginal delivery w sterilization &/or D&C"
768,14,SURG,"Vaginal delivery w O.R. proc except steril &/or D&C"
769,14,SURG,"Postpartum & post abortion diagnoses w O.R. procedure"
770,14,SURG,"Abortion w D&C, aspiration curettage or hysterotomy"
774,14,MED,"Vaginal delivery w complicating diagnoses g y p g g"
775,14,MED,"Vaginal delivery w/o complicating diagnoses"
776,14,MED,"Postpartum & post abortion diagnoses w/o O.R. procedure"
777,14,MED,"Ectopic pregnancy"
778,14,MED,"Threatened abortion"
779,14,MED,"Abortion w/o D&C"
780,14,MED,"False labor"
781,14,MED,"Other antepartum diagnoses w medical complications"
782,14,MED,"Other antepartum diagnoses w/o medical complications"
789,15,MED,"Neonates, died or transferred to another acute care facility"
790,15,MED,"Extreme immaturity or respiratory distress syndrome, neonate"
791,15,MED,"Prematurity w major problems"
792,15,MED,"Prematurity w/o major problems"
793,15,MED,"Full term neonate w major problems"
794,15,MED,"Neonate w other significant problems"
795,15,MED,"Normal newborn"
799,16,SURG,"Splenectomy w MCC"
800,16,SURG,"Splenectomy w CC"
801,16,SURG,"Splenectomy w/o CC/MCC"
802,16,SURG,"Other O.R. proc of the blood & blood forming organs w MCC"
803,16,SURG,"Other O.R. proc of the blood & blood forming organs w CC"
804,16,SURG,"Other O.R. proc of the blood & blood forming organs w/o CC/MCC"
808,16,MED,"Major hematol/immun diag exc sickle cell crisis & coagul w MCC"
809,16,MED,"Major hematol/immun diag exc sickle cell crisis & coagul w CC"
810,16,MED,"Major hematol/immun diag exc sickle cell crisis & coagul w/o CC/MCC"
811,16,MED,"Red blood cell disorders w MCC"
812,16,MED,"Red blood cell disorders w/o MCC"
813,16,MED,"Coagulation disorders"
814,16,MED,"Reticuloendothelial & immunity disorders w MCC"
815,16,MED,"Reticuloendothelial & immunity disorders w CC"
816,16,MED,"Reticuloendothelial & immunity disorders w/o CC/MCC"
820,17,SURG,"Lymphoma & leukemia w major O.R. procedure w MCC"
821,17,SURG,"Lymphoma & leukemia w major O.R. procedure w CC"
822,17,SURG,"Lymphoma & leukemia w major O.R. procedure w/o CC/MCC"
823,17,SURG,"Lymphoma & non-acute leukemia w other O.R. proc w MCC"
824,17,SURG,"Lymphoma & non-acute leukemia w other O.R. proc w CC"
825,17,SURG,"Lymphoma & non-acute leukemia w other O.R. proc w/o CC/MCC"
826,17,SURG,"Myeloprolif disord or poorly diff neopl w maj O.R. proc w MCC"
827,17,SURG,"Myeloprolif disord or poorly diff neopl w maj O.R. proc w CC"
828,17,SURG,"Myeloprolif disord or poorly diff neopl w maj O.R. proc w/o CC/MCC"
829,17,SURG,"Myeloprolif disord or poorly diff neopl w other O.R. proc w CC/MCC"
830,17,SURG,"Myeloprolif disord or poorly diff neopl w other O.R. proc w/o CC/MCC"
834,17,MED,"Acute leukemia w/o major O.R. procedure w MCC"
835,17,MED,"Acute leukemia w/o major O.R. procedure w CC"
836,17,MED,"Acute leukemia w/o major O.R. procedure w/o CC/MCC"
837,17,MED,"Chemo w acute leukemia as sdx or w high dose chemo agent w MCC"
838,17,MED,"Chemo w acute leukemia as sdx w CC or high dose chemo agent"
839,17,MED,"Chemo w acute leukemia as sdx w/o CC/MCC"
840,17,MED,"Lymphoma & non-acute leukemia w MCC"
841,17,MED,"Lymphoma & non-acute leukemia w CC"
842,17,MED,"Lymphoma & non-acute leukemia w/o CC/MCC"
843,17,MED,"Other myeloprolif dis or poorly diff neopl diag w MCC"
844,17,MED,"Other myeloprolif dis or poorly diff neopl diag w CC y p p y p g"
845,17,MED,"Other myeloprolif dis or poorly diff neopl diag w/o CC/MCC"
846,17,MED,"Chemotherapy w/o acute leukemia as secondary diagnosis w MCC"
847,17,MED,"Chemotherapy w/o acute leukemia as secondary diagnosis w CC"
848,17,MED,"Chemotherapy w/o acute leukemia as secondary diagnosis w/o CC/MCC"
849,17,MED,"Radiotherapy"
853,18,SURG,"Infectious & parasitic diseases w O.R. procedure w MCC"
854,18,SURG,"Infectious & parasitic diseases w O.R. procedure w CC"
855,18,SURG,"Infectious & parasitic diseases w O.R. procedure w/o CC/MCC"
856,18,SURG,"Postoperative or post-traumatic infections w O.R. proc w MCC"
857,18,SURG,"Postoperative or post-traumatic infections w O.R. proc w CC"
858,18,SURG,"Postoperative or post-traumatic infections w O.R. proc w/o CC/MCC"
862,18,MED,"Postoperative & post-traumatic infections w MCC"
863,18,MED,"Postoperative & post-traumatic infections w/o MCC"
864,18,MED,"Fever of unknown origin"
865,18,MED,"Viral illness w MCC"
866,18,MED,"Viral illness w/o MCC"
867,18,MED,"Other infectious & parasitic diseases diagnoses w MCC"
868,18,MED,"Other infectious & parasitic diseases diagnoses w CC"
869,18,MED,"Other infectious & parasitic diseases diagnoses w/o CC/MCC"
870,18,MED,"Septicemia w MV 96+ hours"
871,18,MED,"Septicemia w/o MV 96+ hours w MCC"
872,18,MED,"Septicemia w/o MV 96+ hours w/o MCC"
876,19,SURG,"O.R. procedure w principal diagnoses of mental illness"
880,19,MED,"Acute adjustment reaction & psychosocial dysfunction"
881,19,MED,"Depressive neuroses"
882,19,MED,"Neuroses except depressive"
883,19,MED,"Disorders of personality & impulse control"
884,19,MED,"Organic disturbances & mental retardation"
885,19,MED,"Psychoses"
886,19,MED,"Behavioral & developmental disorders"
887,19,MED,"Other mental disorder diagnoses"
894,20,MED,"Alcohol/drug abuse or dependence, left ama"
895,20,MED,"Alcohol/drug abuse or dependence w rehabilitation therapy"
896,20,MED,"Alcohol/drug abuse or dependence w/o rehabilitation therapy w MCC"
897,20,MED,"Alcohol/drug abuse or dependence w/o rehabilitation therapy w/o MCC"
901,21,SURG,"Wound debridements for injuries w MCC"
902,21,SURG,"Wound debridements for injuries w CC"
903,21,SURG,"Wound debridements for injuries w/o CC/MCC"
904,21,SURG,"Skin grafts for injuries w CC/MCC"
905,21,SURG,"Skin grafts for injuries w/o CC/MCC"
906,21,SURG,"Hand procedures for injuries"
907,21,SURG,"Other O.R. procedures for injuries w MCC"
908,21,SURG,"Other O.R. procedures for injuries w CC"
909,21,SURG,"Other O.R. procedures for injuries w/o CC/MCC"
913,21,MED,"Traumatic injury w MCC"
914,21,MED,"Traumatic injury w/o MCC"
915,21,MED,"Allergic reactions w MCC"
916,21,MED,"Allergic reactions w/o MCC"
917,21,MED,"Poisoning & toxic effects of drugs w MCC"
918,21,MED,"Poisoning & toxic effects of drugs w/o MCC"
919,21,MED,"Complications of treatment w MCC"
920,21,MED,"Complications of treatment w CC p"
921,21,MED,"Complications of treatment w/o CC/MCC"
922,21,MED,"Other injury, poisoning & toxic effect diag w MCC"
923,21,MED,"Other injury, poisoning & toxic effect diag w/o MCC"
927,22,SURG,"Extensive burns or full thickness burns w MV 96+ hrs w skin graft"
928,22,SURG,"Full thickness burn w skin graft or inhal inj w CC/MCC"
929,22,SURG,"Full thickness burn w skin graft or inhal inj w/o CC/MCC"
933,22,MED,"Extensive burns or full thickness burns w MV 96+ hrs w/o skin graft"
934,22,MED,"Full thickness burn w/o skin grft or inhal inj"
935,22,MED,"Non-extensive burns"
939,23,SURG,"O.R. proc w diagnoses of other contact w health services w MCC"
940,23,SURG,"O.R. proc w diagnoses of other contact w health services w CC"
941,23,SURG,"O.R. proc w diagnoses of other contact w health services w/o CC/MCC"
945,23,MED,"Rehabilitation w CC/MCC"
946,23,MED,"Rehabilitation w/o CC/MCC"
947,23,MED,"Signs & symptoms w MCC"
948,23,MED,"Signs & symptoms w/o MCC"
949,23,MED,"Aftercare w CC/MCC"
950,23,MED,"Aftercare w/o CC/MCC"
951,23,MED,"Other factors influencing health status"
955,24,SURG,"Craniotomy for multiple significant trauma"
956,24,SURG,"Limb reattachment, hip & femur proc for multiple significant trauma"
957,24,SURG,"Other O.R. procedures for multiple significant trauma w MCC"
958,24,SURG,"Other O.R. procedures for multiple significant trauma w CC"
959,24,SURG,"Other O.R. procedures for multiple significant trauma w/o CC/MCC"
963,24,MED,"Other multiple significant trauma w MCC"
964,24,MED,"Other multiple significant trauma w CC"
965,24,MED,"Other multiple significant trauma w/o CC/MCC"
969,25,SURG,"HIV w extensive O.R. procedure w MCC"
970,25,SURG,"HIV w extensive O.R. procedure w/o MCC"
974,25,MED,"HIV w major related condition w MCC"
975,25,MED,"HIV w major related condition w CC"
976,25,MED,"HIV w major related condition w/o CC/MCC"
977,25,MED,"HIV w or w/o other related condition"
981,,SURG,"Extensive O.R. procedure unrelated to principal diagnosis w MCC"
982,,SURG,"Extensive O.R. procedure unrelated to principal diagnosis w CC"
983,,SURG,"Extensive O.R. procedure unrelated to principal diagnosis w/o CC/MCC"
984,,SURG,"Prostatic O.R. procedure unrelated to principal diagnosis w MCC"
985,,SURG,"Prostatic O.R. procedure unrelated to principal diagnosis w CC"
986,,SURG,"Prostatic O.R. procedure unrelated to principal diagnosis w/o CC/MCC"
987,,SURG,"Non-extensive O.R. proc unrelated to principal diagnosis w MCC"
988,,SURG,"Non-extensive O.R. proc unrelated to principal diagnosis w CC"
989,,SURG,"Non-extensive O.R. proc unrelated to principal diagnosis w/o CC/MCC"
998,,"Principal diagnosis invalid as discharge diagnosis"
999,,"Ungroupable"
